Date,Price
27/03/2021,7100
28/03/2021,7100
29/03/2021,7300
30/03/2021,7500
31/03/2021,8100
01/04/2021,8300
02/04/2021,8500
03/04/2021,8500
04/04/2021,8500
05/04/2021,8600
06/04/2021,8500
07/04/2021,8700
08/04/2021,8700
09/04/2021,8600
10/04/2021,8600
11/04/2021,8600
12/04/2021,9400
13/04/2021,9000
14/04/2021,9200
15/04/2021,9000
16/04/2021,8600
17/04/2021,8600
18/04/2021,8600
19/04/2021,8700
20/04/2021,8400
21/04/2021,8400
22/04/2021,7700
23/04/2021,8200
24/04/2021,8200
25/04/2021,8200
26/04/2021,7900
27/04/2021,7500
28/04/2021,7800
29/04/2021,7700
30/04/2021,7700
01/05/2021,7700
02/05/2021,7700
03/05/2021,7700
04/05/2021,7500
05/05/2021,7900
06/05/2021,7700
07/05/2021,7400
08/05/2021,7400
09/05/2021,7400
10/05/2021,7700
11/05/2021,7800
12/05/2021,7800
13/05/2021,8000
14/05/2021,8000
15/05/2021,8000
16/05/2021,8000
17/05/2021,7700
18/05/2021,7600
19/05/2021,7600
20/05/2021,7900
21/05/2021,8300
22/05/2021,8300
23/05/2021,8300
24/05/2021,8600
25/05/2021,8400
26/05/2021,8400
27/05/2021,8100
28/05/2021,8800
29/05/2021,8800
30/05/2021,8800
31/05/2021,9700
01/06/2021,11000
02/06/2021,12600
03/06/2021,13600
04/06/2021,14400
05/06/2021,14400
06/06/2021,14400
07/06/2021,12400
08/06/2021,11300
09/06/2021,12800
10/06/2021,12300
11/06/2021,13100
12/06/2021,13100
13/06/2021,13100
14/06/2021,13600
15/06/2021,13300
16/06/2021,12800
17/06/2021,13000
18/06/2021,13100
19/06/2021,13100
20/06/2021,13100
21/06/2021,13100
22/06/2021,13200
23/06/2021,14600
24/06/2021,14100
25/06/2021,15500
26/06/2021,15500
27/06/2021,15500
28/06/2021,15500
29/06/2021,15800
30/06/2021,15600
01/07/2021,16700
02/07/2021,16800
03/07/2021,16800
04/07/2021,16800
05/07/2021,16300
06/07/2021,14500
07/07/2021,14800
08/07/2021,14400
09/07/2021,13000
10/07/2021,13000
11/07/2021,13000
12/07/2021,11500
13/07/2021,13000
14/07/2021,12500
15/07/2021,12900
16/07/2021,13000
17/07/2021,13000
18/07/2021,13000
19/07/2021,11500
20/07/2021,12400
21/07/2021,12000
22/07/2021,12300
23/07/2021,11800
24/07/2021,11800
25/07/2021,11800
26/07/2021,11700
27/07/2021,11900
28/07/2021,11900
29/07/2021,12100
30/07/2021,12700
31/07/2021,12700
01/08/2021,12700
02/08/2021,12500
03/08/2021,12600
04/08/2021,13300
05/08/2021,13300
06/08/2021,12900
07/08/2021,12900
08/08/2021,12900
09/08/2021,13600
10/08/2021,13700
11/08/2021,13300
12/08/2021,13200
13/08/2021,13600
14/08/2021,13600
15/08/2021,13600
16/08/2021,15200
17/08/2021,15000
18/08/2021,15300
19/08/2021,15700
20/08/2021,15300
21/08/2021,15300
22/08/2021,15300
23/08/2021,16600
24/08/2021,14900
25/08/2021,15100
26/08/2021,14700
27/08/2021,15100
28/08/2021,15100
29/08/2021,15100
30/08/2021,15600
31/08/2021,15500
01/09/2021,15600
02/09/2021,15600
03/09/2021,15600
04/09/2021,15600
05/09/2021,15600
06/09/2021,16200
07/09/2021,16500
08/09/2021,16000
09/09/2021,16200
10/09/2021,16100
11/09/2021,16100
12/09/2021,16100
13/09/2021,15400
14/09/2021,14900
15/09/2021,15300
16/09/2021,15100
17/09/2021,15800
18/09/2021,15800
19/09/2021,15800
20/09/2021,15600
21/09/2021,15400
22/09/2021,15500
23/09/2021,15400
24/09/2021,15200
25/09/2021,15200
26/09/2021,15200
27/09/2021,14500
28/09/2021,14800
29/09/2021,14500
30/09/2021,14700
01/10/2021,14200
02/10/2021,14200
03/10/2021,14200
04/10/2021,13800
05/10/2021,14500
06/10/2021,14500
07/10/2021,14400
08/10/2021,14300
09/10/2021,14300
10/10/2021,14300
11/10/2021,14600
12/10/2021,14600
13/10/2021,14500
14/10/2021,15100
15/10/2021,15000
16/10/2021,15000
17/10/2021,15000
18/10/2021,15100
19/10/2021,14900
20/10/2021,14500
21/10/2021,14200
22/10/2021,14000
23/10/2021,14000
24/10/2021,14000
25/10/2021,13700
26/10/2021,13700
27/10/2021,14000
28/10/2021,14300
29/10/2021,14100
30/10/2021,14100
31/10/2021,14100
01/11/2021,14500
02/11/2021,14500
03/11/2021,15000
04/11/2021,16000
05/11/2021,15800
06/11/2021,15800
07/11/2021,15800
08/11/2021,16400
09/11/2021,16100
10/11/2021,16000
11/11/2021,16100
12/11/2021,17800
13/11/2021,17800
14/11/2021,17800
15/11/2021,18900
16/11/2021,18200
17/11/2021,18800
18/11/2021,20700
19/11/2021,19500
20/11/2021,19500
21/11/2021,19500
22/11/2021,19500
23/11/2021,20400
24/11/2021,20900
25/11/2021,21100
26/11/2021,20300
27/11/2021,20300
28/11/2021,20300
29/11/2021,20400
30/11/2021,20000
01/12/2021,19900
02/12/2021,19700
03/12/2021,18000
04/12/2021,18000
05/12/2021,18000
06/12/2021,17000
07/12/2021,17700
08/12/2021,17400
09/12/2021,18100
10/12/2021,17800
11/12/2021,17800
12/12/2021,17800
13/12/2021,18100
14/12/2021,17800
15/12/2021,17400
16/12/2021,17300
17/12/2021,18000
18/12/2021,18000
19/12/2021,18000
20/12/2021,18300
21/12/2021,18100
22/12/2021,17600
23/12/2021,16900
24/12/2021,17100
25/12/2021,17100
26/12/2021,17100
27/12/2021,17000
28/12/2021,17000
29/12/2021,17300
30/12/2021,18600
31/12/2021,18300
01/01/2022,18300
02/01/2022,18300
03/01/2022,18300
04/01/2022,18500
05/01/2022,18400
06/01/2022,18300
07/01/2022,18200
08/01/2022,18200
09/01/2022,18200
10/01/2022,17400
11/01/2022,17000
12/01/2022,17400
13/01/2022,16800
14/01/2022,16500
15/01/2022,16500
16/01/2022,16500
17/01/2022,14300
18/01/2022,13200
19/01/2022,14100
20/01/2022,14100
21/01/2022,13800
22/01/2022,13800
23/01/2022,13800
24/01/2022,12300
25/01/2022,12900
26/01/2022,12800
27/01/2022,13000
28/01/2022,13400
29/01/2022,13400
30/01/2022,13400
31/01/2022,13400
01/02/2022,13400
02/02/2022,13400
03/02/2022,13400
04/02/2022,13400
05/02/2022,13400
06/02/2022,13400
07/02/2022,13800
08/02/2022,13800
09/02/2022,13900
10/02/2022,13700
11/02/2022,13900
12/02/2022,13900
13/02/2022,13900
14/02/2022,13400
15/02/2022,13500
16/02/2022,13600
17/02/2022,13400
18/02/2022,13700
19/02/2022,13700
20/02/2022,13700
21/02/2022,14700
22/02/2022,14700
23/02/2022,14600
24/02/2022,14100
25/02/2022,14500
26/02/2022,14500
27/02/2022,14500
28/02/2022,14300
01/03/2022,14400
02/03/2022,14600
03/03/2022,15400
04/03/2022,15300
05/03/2022,15300
06/03/2022,15300
07/03/2022,15000
08/03/2022,14700
09/03/2022,14400
10/03/2022,14600
11/03/2022,14300
12/03/2022,14300
13/03/2022,14300
14/03/2022,13600
15/03/2022,13900
16/03/2022,13900
17/03/2022,14000
18/03/2022,14000
19/03/2022,14000
20/03/2022,14000
21/03/2022,14000
22/03/2022,14300
23/03/2022,14200
24/03/2022,14000
25/03/2022,14100
26/03/2022,14100
27/03/2022,14100
28/03/2022,13700
29/03/2022,14200
30/03/2022,14500
31/03/2022,14400
01/04/2022,14400
02/04/2022,14400
03/04/2022,14400
04/04/2022,15000
05/04/2022,14700
06/04/2022,14500
07/04/2022,14200
08/04/2022,13700
09/04/2022,13700
10/04/2022,13700
11/04/2022,13700
12/04/2022,13200
13/04/2022,13500
14/04/2022,13300
15/04/2022,13100
16/04/2022,13100
17/04/2022,13100
18/04/2022,12200
19/04/2022,11200
20/04/2022,10300
21/04/2022,9600
22/04/2022,10300
23/04/2022,10300
24/04/2022,10300
25/04/2022,9300
26/04/2022,9800
27/04/2022,10200
28/04/2022,10100
29/04/2022,10400
30/04/2022,10400
01/05/2022,10400
02/05/2022,10400
03/05/2022,10400
04/05/2022,10300
05/05/2022,10200
06/05/2022,9600
07/05/2022,9600
08/05/2022,9600
09/05/2022,8500
10/05/2022,8800
11/05/2022,9100
12/05/2022,8100
13/05/2022,7500
14/05/2022,7500
15/05/2022,7500
16/05/2022,8000
17/05/2022,8900
18/05/2022,8800
19/05/2022,8800
20/05/2022,8700
21/05/2022,8700
22/05/2022,8700
23/05/2022,8500
24/05/2022,8700
25/05/2022,8800
26/05/2022,9100
27/05/2022,9100
28/05/2022,9100
29/05/2022,9100
30/05/2022,9100
31/05/2022,9000
01/06/2022,9000
02/06/2022,9000
03/06/2022,9000
04/06/2022,9000
05/06/2022,9000
06/06/2022,10400
07/06/2022,11600
08/06/2022,11500
09/06/2022,11400
10/06/2022,11500
11/06/2022,11500
12/06/2022,11500
13/06/2022,10400
14/06/2022,10000
15/06/2022,9300
16/06/2022,9300
17/06/2022,8100
18/06/2022,8100
19/06/2022,8100
20/06/2022,7400
21/06/2022,7800
22/06/2022,8100
23/06/2022,8200
24/06/2022,8300
25/06/2022,8300
26/06/2022,8300
27/06/2022,8800
28/06/2022,8700
29/06/2022,8900
30/06/2022,8600
01/07/2022,9000
02/07/2022,9000
03/07/2022,9000
04/07/2022,9100
05/07/2022,8900
06/07/2022,8500
07/07/2022,8600
08/07/2022,8800
09/07/2022,8800
10/07/2022,8800
11/07/2022,8500
12/07/2022,8800
13/07/2022,9500
14/07/2022,9700
15/07/2022,9500
16/07/2022,9500
17/07/2022,9500
18/07/2022,9600
19/07/2022,9400
20/07/2022,9600
21/07/2022,9500
22/07/2022,9300
23/07/2022,9300
24/07/2022,9300
25/07/2022,9100
26/07/2022,8800
27/07/2022,9000
28/07/2022,9000
29/07/2022,9000
30/07/2022,9000
31/07/2022,9000
01/08/2022,9600
02/08/2022,9400
03/08/2022,10100
04/08/2022,10200
05/08/2022,10500
06/08/2022,10500
07/08/2022,10500
08/08/2022,10500
09/08/2022,10400
10/08/2022,10400
11/08/2022,10100
12/08/2022,10400
13/08/2022,10400
14/08/2022,10400
15/08/2022,10200
16/08/2022,10300
17/08/2022,10100
18/08/2022,10300
19/08/2022,10600
20/08/2022,10600
21/08/2022,10600
22/08/2022,10500
23/08/2022,10900
24/08/2022,10900
25/08/2022,10800
26/08/2022,10300
27/08/2022,10300
28/08/2022,10300
29/08/2022,10000
30/08/2022,9900
31/08/2022,9900
01/09/2022,9900
02/09/2022,9900
03/09/2022,9900
04/09/2022,9900
05/09/2022,9800
06/09/2022,9800
07/09/2022,9300
08/09/2022,9000
09/09/2022,9300
10/09/2022,9300
11/09/2022,9300
12/09/2022,9100
13/09/2022,9000
14/09/2022,9100
15/09/2022,9000
16/09/2022,8800
17/09/2022,8800
18/09/2022,8800
19/09/2022,8300
20/09/2022,8700
21/09/2022,8500
22/09/2022,8700
23/09/2022,8600
24/09/2022,8600
25/09/2022,8600
26/09/2022,8100
27/09/2022,8000
28/09/2022,8000
29/09/2022,8000
30/09/2022,7900
01/10/2022,7900
02/10/2022,7900
03/10/2022,7200
04/10/2022,7300
05/10/2022,7500
06/10/2022,7100
07/10/2022,6300
08/10/2022,6300
09/10/2022,6300
10/10/2022,6300
11/10/2022,5500
12/10/2022,5800
13/10/2022,6000
14/10/2022,6300
15/10/2022,6300
16/10/2022,6300
17/10/2022,6100
18/10/2022,6100
19/10/2022,6000
20/10/2022,5800
21/10/2022,5200
22/10/2022,5200
23/10/2022,5200
24/10/2022,4600
25/10/2022,4300
26/10/2022,4400
27/10/2022,5000
28/10/2022,5000
29/10/2022,5000
30/10/2022,5000
31/10/2022,5000
